dataset,requirement,requirement_type,requirement_text,variant,variant_label,n_images,pass_rate_mean,pass_rates_raw,precondition_match_mean,precondition_match_raw,local_replication_pass_rate_n100,paper_reference_pass_rate,notes
mnist,M1,CSFR,The digit is a 2 and has very low height,lr,Per-requirement LoRA,10000,0.9989,"[0.999, 0.998, 0.999, 0.998, 0.998, 0.999, 1.0, 0.999, 1.0, 0.999]",0.968,"[98.0, 95.0, 97.0, 97.0, 93.0, 98.0, 98.0, 98.0, 96.0, 98.0]",1.0,0.999,
mnist,M2,CSFR,The digit is a 3 and is very thick,lr,Per-requirement LoRA,10000,0.9724,"[0.966, 0.966, 0.972, 0.979, 0.975, 0.972, 0.97, 0.971, 0.976, 0.977]",0.98,"[96.0, 98.0, 97.0, 98.0, 99.0, 98.0, 98.0, 98.0, 99.0, 99.0]",0.99,0.977,
mnist,M3,CSFR,The digit is a 7 and is very thick,lr,Per-requirement LoRA,10000,0.6941,"[0.709, 0.678, 0.702, 0.672, 0.685, 0.695, 0.691, 0.702, 0.683, 0.724]",0.958,"[98.0, 91.0, 97.0, 96.0, 93.0, 96.0, 95.0, 97.0, 98.0, 97.0]",0.73,0.724,
mnist,M4,CSFR,The digit is a 9 and is very left leaning,lr,Per-requirement LoRA,10000,0.9874,"[0.986, 0.989, 0.987, 0.987, 0.989, 0.989, 0.989, 0.987, 0.989, 0.982]",0.925,"[90.0, 90.0, 91.0, 95.0, 95.0, 93.0, 91.0, 92.0, 95.0, 93.0]",0.97,0.982,
mnist,M5,CSFR,The digit is a 6 and is very right leaning,lr,Per-requirement LoRA,10000,0.9972,"[0.997, 0.999, 0.997, 0.997, 0.996, 0.998, 0.997, 0.999, 0.998, 0.994]",0.9,"[87.0, 93.0, 93.0, 92.0, 92.0, 89.0, 90.0, 89.0, 88.0, 87.0]",1.0,0.994,
mnist,M6,CSFR,The digit is a 0 and has very low height,lr,Per-requirement LoRA,10000,0.9773,"[0.972, 0.979, 0.972, 0.976, 0.978, 0.977, 0.982, 0.98, 0.981, 0.976]",0.957,"[97.0, 97.0, 95.0, 93.0, 96.0, 95.0, 96.0, 97.0, 94.0, 97.0]",0.98,0.976,
mnist,M7,CSFR,The digit is an 8 and is very thin or very thick,lr,Per-requirement LoRA,,,[],,[],0.98,0.981,"M7 has pass-rate data, but is missing from rq1_mnist.json."
celeba,C1,CSFR,The person is wearing eyeglasses and has black hair,lr,Per-requirement LoRA,10000,0.9158,"[0.924, 0.93, 0.911, 0.907, 0.923, 0.908, 0.924, 0.914, 0.913, 0.904]",0.961,"[97.0, 95.0, 96.0, 95.0, 96.0, 95.0, 98.0, 96.0, 96.0, 97.0]",,,
celeba,C2,CSFR,The person is wearing eyeglasses and has brown hair,lr,Per-requirement LoRA,10000,0.8786,"[0.88, 0.864, 0.875, 0.87, 0.896, 0.875, 0.889, 0.892, 0.88, 0.865]",0.964,"[94.0, 98.0, 97.0, 95.0, 97.0, 94.0, 96.0, 100.0, 96.0, 97.0]",,,
celeba,C3,CSFR,The person is wearing eyeglasses and has a mustache,lr,Per-requirement LoRA,10000,0.9141,"[0.924, 0.921, 0.927, 0.919, 0.916, 0.908, 0.905, 0.905, 0.911, 0.905]",0.975,"[99.0, 97.0, 95.0, 97.0, 96.0, 98.0, 100.0, 98.0, 100.0, 95.0]",,,
celeba,C4,CSFR,The person is wearing eyeglasses and has wavy hair,lr,Per-requirement LoRA,10000,0.909,"[0.907, 0.918, 0.911, 0.908, 0.906, 0.912, 0.904, 0.89, 0.927, 0.907]",0.894,"[89.0, 93.0, 89.0, 91.0, 84.0, 88.0, 91.0, 87.0, 93.0, 89.0]",,,
celeba,C5,CSFR,The person is wearing eyeglasses and is bald,lr,Per-requirement LoRA,10000,0.9748,"[0.982, 0.975, 0.976, 0.969, 0.974, 0.98, 0.969, 0.975, 0.97, 0.978]",0.955,"[94.0, 94.0, 96.0, 92.0, 99.0, 93.0, 95.0, 97.0, 98.0, 97.0]",,,
celeba,C6,CSFR,The person is wearing eyeglasses and a hat,lr,Per-requirement LoRA,10000,0.7957,"[0.806, 0.807, 0.771, 0.817, 0.777, 0.791, 0.782, 0.817, 0.801, 0.788]",0.981,"[99.0, 97.0, 97.0, 97.0, 98.0, 98.0, 97.0, 100.0, 99.0, 99.0]",,,
celeba,C7,CSFR,The person is wearing eyeglasses and has facial hair,lr,Per-requirement LoRA,10000,0.8058,"[0.807, 0.799, 0.805, 0.789, 0.809, 0.815, 0.792, 0.805, 0.833, 0.804]",,[],,,"C7 has pass-rate data, but is missing from rq1_celeba.json."
sgsm,S1,SFFR,"A vehicle is within 10 meters, in front, and in the same lane",lr,Per-requirement LoRA,10000,0.6535,"[0.644, 0.6485, 0.6466666666666666, 0.654, 0.656, 0.6561666666666667, 0.6572857142857143, 0.6575, 0.6572222222222223, 0.6577]",0.76,"[71, 74, 73, 72, 77, 85, 81, 74, 77, 76]",,,
sgsm,S2,SFFR,The ego lane is controlled by a red or yellow light,lr,Per-requirement LoRA,10000,0.1336,"[0.14, 0.1355, 0.13566666666666666, 0.132, 0.1314, 0.13283333333333333, 0.13285714285714287, 0.131125, 0.13233333333333333, 0.1325]",0.85,"[83, 84, 86, 82, 81, 86, 85, 86, 90, 87]",,,
sgsm,S3,SFFR,"The ego lane is controlled by a green light, and no vehicle is in front, same lane, within 10 meters",lr,Per-requirement LoRA,10000,0.887,"[0.886, 0.8835, 0.8786666666666667, 0.886, 0.8868, 0.886, 0.888, 0.891875, 0.8917777777777778, 0.8917]",0.783,"[83, 78, 79, 85, 78, 74, 79, 75, 79, 73]",,,
sgsm,S4,SFFR,The ego is in the rightmost lane and is not in an intersection,lr,Per-requirement LoRA,10000,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.854,"[84, 79, 92, 84, 84, 89, 88, 93, 77, 84]",,,
sgsm,S5,SFFR,The ego is in the leftmost lane and is not in an intersection,lr,Per-requirement LoRA,10000,0.9974,"[0.999, 0.996, 0.9966666666666667, 0.99725, 0.9976, 0.998, 0.9974285714285714, 0.997375, 0.9973333333333333, 0.9975]",0.741,"[78, 75, 77, 79, 69, 65, 77, 74, 73, 74]",,,
sgsm,S6,SFFR,A vehicle is in the lane to the left and within 7 meters,lr,Per-requirement LoRA,10000,0.9971,"[0.995, 0.996, 0.997, 0.997, 0.9974, 0.9976666666666667, 0.9975714285714286, 0.9975, 0.9977777777777778, 0.9979]",0.945,"[97, 96, 96, 92, 96, 93, 91, 95, 95, 94]",,,
